# Each line of the data below represents a goal
# game - game #
# t - team #
# g - player # who scored the goal
# a1 - player # who had the first assist
# a2 - player # who has the second assist
# Note some columns are empty, which indicates no player
# For a game where a team scored no goals a row is included to simply register the team that played.
# For any given game, the team listed first is the home team.
game,t,g,a1,a2
1,1,10
1,1,15
1,2,10
1,2,2,5
1,2,14,2
1,2,15
1,2,10,14,12
1,2,3
2,1,10,17
2,1,10,16
2,1,16
2,1,3,10
2,1,10
2,1,2,10
2,4,5
3,3,4
3,3,30
3,3,6
3,2,12,10
3,2,16,2
3,2,16
3,2,2,11
3,2,10,14
3,2,2,12,11
4,1,10,17,10
4,1,15,10
4,3,8,10,7
4,3,9,4,10
4,3,5
5,2,10,2
5,2,7,11,10
5,2,6,5,4
5,2,10,6,7
5,2,10,16,4
5,2,11,5,7
5,2,10,11
5,2,7,14,2
5,2,14,2
5,5,10
5,5,16,10
5,5,10,11,16
5,5,5,11
6,1,7
6,1,10,7
6,1,6,16
6,1,7,10,17
6,2,4,5,14
6,2,12,15
6,2,16,11,14
7,3,5,17
7,3,9
7,3,5
7,3,17
7,3,7,12,8
7,3,30,15,6
7,3,5
7,3,7,11
7,6,8,2
# Nov 22 Games
8,1,10,14,4
8,1,10,7,15
8,1,9,4,14
8,7,6,,
8,7,3,6,
8,7,10,2,5
8,7,10,5,2
8,7,11,,
9,2,16,15,
9,2,4,10,
9,2,7,2,8
9,2,10,8,
9,3,11,6,12
9,3,15,7,
# Nov 29 Games
10,2,16,7,12
10,2,10,11
10,8,2,6,7
10,8,2,5
11,3,11
11,3,12,11,6
11,3,7,11
11,3,17,12
11,1
# Dec 6 Games
12,2,2
12,2,15,10,7
12,2,16,2
12,2,15,10,2
12,2,10
12,1,16
12,1,4,8
13,3,12,6
13,3,13,7,16
13,3,7,13
13,10,16,8
13,10,8
# Dec 13 Games
14,2,7,10,11
14,2,11,16,4
14,2,14,15
14,2,16,10
14,3,12
14,3,7,5
15,1,17
15,1,15
15,1,13,15,5
15,1,14,17
15,1,14,8
15,9,16,13,5
15,9,16,13
15,9,5,4
15,9,16,4,5
15,9,4,5,6
15,9,5,4,6
15,9,3,11
15,9,13
15,9,4,16
# Dec 20 Games
16,3,15,12
16,3,7
16,3,11,7
16,3,17,12
16,3,15,5
16,3,12
16,3,8,6
16,1,3,1
17,2,4,2
17,2,10
17,2,12,16,10
17,2,10
17,11,6,9,3
17,11,8
# Jan 10
18,3,9
18,3,7,17,11
18,3,5
18,3,7
18,4,2,4
18,4,12
18,4,5
18,4,4,11,16
19,1,15,8
19,1,7
19,1,6
19,1,3,15,14
19,1,14,7
19,1,3,8,16
19,1,7,16
19,2,11,16,4
19,2,16,11
19,2,15,11
19,2,16,5
# Jan 17
20,2,16,15,2
20,2,14,10
20,2,16,15,2
20,2,15,7
20,2,14
20,3,7,6,5
20,3,11,7,12
20,3,5
21,1,16
21,1,15,14
21,1,10,11
21,1,14,3
21,5,16,10,8
21,5,4,10
21,5,10,16,4
# Jan 24
22,2,10,7,14
22,2,14,10,7
22,2,16,11,13
22,2,7,14,10
22,2,16,2,15
22,2,10,2,14
22,6,8,7,9
22,6,7,12,8
22,6,7,9,3
23,1,4,2,14
23,1,17,18
23,3,17,6,7
23,3,11,9,10
23,3,9,6,12
23,3,11,9,10
23,3,17,10,6
23,3,9,5,8
23,3,17,5,6
# Jan 31
24,3,17,7,6
24,3,10
24,3,6,7,11
24,7
25,2,15,16
25,2,15
25,2,10,2,15
25,2,10,16
25,2,2
25,2,12,10,7
25,2,16
25,2,11
25,2,16,15
25,2,16,15,12
25,2,16,2,12
25,2,10,12,16
25,1,8,4,2
25,1,16,4
